City,2010_asukkaiden_mediaanitulot_hr,2011_asukkaiden_mediaanitulot_hr,2012_asukkaiden_mediaanitulot_hr,2013_asukkaiden_mediaanitulot_hr,2014_asukkaiden_mediaanitulot_hr,2015_asukkaiden_mediaanitulot_hr,2016_asukkaiden_mediaanitulot_hr,2017_asukkaiden_mediaanitulot_hr,2018_asukkaiden_mediaanitulot_hr,2019_asukkaiden_mediaanitulot_hr,2020_asukkaiden_mediaanitulot_hr,2021_asukkaiden_mediaanitulot_hr
Äänekoski,17478.0,18054.0,18581.0,18844.0,19107.0,19333.0,19775.0,19966.0,20218.0,20714.0,20928.0,21465.0
Alajärvi,15770.0,16237.0,16938.0,17139.0,17578.0,17856.0,18013.0,18361.0,18968.0,19527.0,19586.0,20322.0
Alavus,16137.0,16682.0,17179.0,17628.0,17906.0,18087.0,18246.0,18621.0,19043.0,19457.0,19807.0,20449.0
Evijärvi,16361.0,17053.0,17604.0,18065.0,18383.0,18946.0,19505.0,20122.0,20641.0,20789.0,20806.0,21205.0
Ilmajoki,18414.0,19587.0,20331.0,20663.0,21020.0,20897.0,21517.0,21839.0,22312.0,22836.0,23227.0,23736.0
Isojoki,14752.0,15204.0,15562.0,16143.0,16495.0,16734.0,16986.0,17634.0,18060.0,18695.0,18263.0,19409.0
Isokyrö,17244.0,17830.0,18630.0,19048.0,19220.0,19191.0,19703.0,19945.0,20317.0,20993.0,21299.0,22039.0
Karijoki,15443.0,15726.0,16473.0,16667.0,16955.0,17659.0,18088.0,18174.0,19335.0,19456.0,19530.0,19699.0
Kauhajoki,16250.0,17006.0,17549.0,17815.0,18069.0,18278.0,18651.0,19000.0,19550.0,20066.0,20187.0,20710.0
Kauhava,16911.0,17658.0,18414.0,18791.0,18972.0,18993.0,19190.0,19525.0,20108.0,20659.0,20780.0,21423.0
Kuortane,15786.0,16901.0,17355.0,18206.0,18288.0,18537.0,18699.0,19146.0,19532.0,19986.0,20119.0,21142.0
Kurikka,16548.0,17191.0,17900.0,18124.0,18332.0,18529.0,18760.0,19228.0,19614.0,20187.0,20581.0,21064.0
Lappajärvi,15160.0,16002.0,16474.0,17052.0,17623.0,17752.0,17793.0,17967.0,18807.0,18869.0,19076.0,19305.0
Lapua,17800.0,18619.0,19414.0,19654.0,19726.0,19994.0,20377.0,20631.0,20897.0,21603.0,21880.0,22577.0
Seinäjoki,19522.0,20176.0,20649.0,20832.0,20901.0,20974.0,21274.0,21621.0,22069.0,22598.0,22903.0,23589.0
Soini,14451.0,15063.0,15538.0,16017.0,16924.0,16650.0,16980.0,17579.0,17734.0,18435.0,18590.0,19880.0
