City,2010_perusasteen_suorittaneet_ko,2011_perusasteen_suorittaneet_ko,2012_perusasteen_suorittaneet_ko,2013_perusasteen_suorittaneet_ko,2014_perusasteen_suorittaneet_ko,2015_perusasteen_suorittaneet_ko,2016_perusasteen_suorittaneet_ko,2017_perusasteen_suorittaneet_ko,2018_perusasteen_suorittaneet_ko,2019_perusasteen_suorittaneet_ko,2020_perusasteen_suorittaneet_ko,2021_perusasteen_suorittaneet_ko
Pomarkku,854.0,827.0,777.0,761.0,727.0,701.0,682.0,642.0,616.0,591.0,581.0,556.0
Pori,21399.0,20797.0,20360.0,19786.0,19181.0,18852.0,18313.0,17728.0,17020.0,16423.0,16082.0,15669.0
Rauma,10080.0,9893.0,9679.0,9453.0,9269.0,9137.0,9021.0,8855.0,8440.0,8362.0,8264.0,8175.0
Siikainen,598.0,587.0,574.0,556.0,536.0,504.0,470.0,459.0,437.0,425.0,407.0,385.0
Säkylä,2226.0,2178.0,2125.0,2038.0,1978.0,1903.0,1820.0,1777.0,1683.0,1632.0,1585.0,1544.0
Ulvila,3191.0,3116.0,2998.0,2939.0,2846.0,2773.0,2691.0,2593.0,2430.0,2366.0,2270.0,2198.0
Forssa,5479.0,5374.0,5251.0,5133.0,4966.0,4795.0,4672.0,4555.0,4384.0,4279.0,4199.0,4103.0
Hattula,2025.0,1953.0,1948.0,1852.0,1831.0,1786.0,1737.0,1689.0,1619.0,1530.0,1481.0,1441.0
Hausjärvi,2113.0,2089.0,2054.0,1947.0,1885.0,1861.0,1803.0,1731.0,1652.0,1609.0,1573.0,1542.0
Humppila,789.0,771.0,745.0,715.0,687.0,676.0,653.0,617.0,574.0,544.0,524.0,507.0
Hämeenlinna,15940.0,15631.0,15360.0,15006.0,14637.0,14586.0,14201.0,13746.0,13077.0,12697.0,12450.0,12244.0
Janakkala,4166.0,4088.0,4041.0,3913.0,3810.0,3748.0,3648.0,3526.0,3388.0,3331.0,3196.0,3153.0
Jokioinen,1442.0,1427.0,1376.0,1331.0,1306.0,1231.0,1177.0,1165.0,1112.0,1076.0,1071.0,1043.0
Loppi,2208.0,2217.0,2176.0,2117.0,2052.0,2035.0,1926.0,1876.0,1788.0,1722.0,1719.0,1671.0
Riihimäki,7012.0,6875.0,6766.0,6630.0,6495.0,6404.0,6203.0,5963.0,5760.0,5680.0,5576.0,5479.0
Tammela,1726.0,1659.0,1602.0,1555.0,1494.0,1432.0,1383.0,1341.0,1262.0,1224.0,1216.0,1187.0
Ypäjä,720.0,696.0,687.0,655.0,628.0,625.0,592.0,582.0,558.0,535.0,521.0,502.0
