City,2011_maapinta_ala,2012_maapinta_ala,2013_maapinta_ala,2014_maapinta_ala,2015_maapinta_ala,2016_maapinta_ala,2017_maapinta_ala,2018_maapinta_ala,2019_maapinta_ala,2020_maapinta_ala,2021_maapinta_ala,2022_maapinta_ala
Luhanka,214.53,214.53,214.53,214.53,214.53,214.52,214.5,214.5,214.5,214.51,214.51,214.50
Multia,733.25,733.24,733.24,733.26,733.26,733.27,733.27,733.24,733.24,733.24,733.24,733.25
Muurame,144.06,144.06,144.06,144.06,144.06,144.06,144.05,144.05,144.05,144.06,144.06,144.06
Petäjävesi,456.38,456.39,456.39,456.41,456.41,456.4,456.4,456.4,456.4,456.42,456.42,456.42
Pihtipudas,1074.77,1074.77,1074.77,1074.66,1074.67,1074.67,1074.9,1074.9,1074.91,1074.92,1074.92,1074.93
Saarijärvi,1251.94,1251.88,1251.88,1251.69,1251.8,1251.8,1251.73,1251.72,1251.7,1251.71,1251.72,1251.76
Toivakka,361.49,361.43,361.43,361.44,361.45,361.44,361.45,361.45,361.45,361.45,361.46,361.46
Uurainen,348.05,348.05,348.05,347.99,347.99,347.98,347.99,347.98,347.98,347.98,347.98,347.98
Viitasaari,1248.69,1248.48,1248.48,1248.48,1248.48,1248.46,1248.46,1248.55,1248.55,1248.54,1248.54,1248.53
Äänekoski,884.54,884.48,884.48,884.48,884.49,884.54,884.57,884.57,884.57,884.58,884.62,884.61
Alajärvi,1008.75,1008.74,1008.74,1008.75,1008.75,1008.79,1008.82,1008.83,1008.83,1008.85,1008.77,1008.77
Alavus,1088.17,1088.16,1088.16,1088.16,1087.31,1087.23,1087.23,1087.22,1087.18,1087.24,1087.24,1087.23
Evijärvi,354.01,354.07,354.07,354.08,354.13,354.13,354.15,354.15,354.15,354.16,354.15,354.15
Ilmajoki,576.79,576.79,576.79,576.78,576.78,576.78,576.79,576.79,576.81,576.74,576.74,576.74
Isojoki,642.38,642.38,642.38,642.38,642.38,642.37,642.37,642.38,642.38,642.38,642.38,642.40
Isokyrö,354.2,354.19,354.19,354.13,354.13,354.14,354.13,354.13,354.13,354.13,354.13,354.13
Karijoki,185.77,185.76,185.76,185.76,185.76,185.76,185.76,185.72,185.76,185.57,185.58,185.58
Kauhajoki,1299.1,1299.08,1299.08,1299.03,1298.98,1298.97,1298.98,1298.98,1298.99,1298.96,1298.99,1298.98
Kauhava,1313.73,1313.69,1313.69,1313.46,1313.41,1313.44,1313.51,1313.78,1313.79,1313.82,1313.85,1313.85
Kuortane,462.17,462.17,462.17,462.17,462.16,462.15,462.16,462.18,462.17,462.14,462.37,462.37
Kurikka,1724.34,1724.32,1724.32,1723.94,1724.16,1724.06,1724.42,1724.62,1724.67,1724.63,1724.63,1724.62
Lappajärvi,420.86,420.89,420.89,421.06,420.14,420.06,420.06,420.81,420.81,420.88,420.89,420.89
Lapua,737.09,737.15,737.15,737.39,738.15,738.17,738.18,737.15,737.15,737.15,737.16,737.16
Seinäjoki,1431.64,1431.64,1431.64,1431.76,1431.79,1431.77,1431.77,1431.78,1431.75,1431.78,1431.77,1431.77
Soini,552.06,551.95,551.95,551.96,551.95,551.95,551.95,551.95,551.95,551.95,551.95,551.95
Teuva,554.66,554.7,554.7,554.7,554.7,554.7,554.7,554.67,554.57,554.67,554.73,554.73
Vimpeli,287.28,287.33,287.33,287.15,287.33,287.32,287.32,287.32,287.32,287.32,287.32,287.32
Ähtäri,804.96,804.94,804.94,804.93,805.85,805.85,805.84,805.82,805.83,805.82,805.82,805.81
Kaskinen,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.64
Korsnäs,235.78,235.78,235.78,235.78,235.78,235.85,236.01,236.01,236.0,236.03,236.03,236.27
Kristiinankaupunki,682.99,682.99,682.99,683.03,683.03,683.04,683.04,683.04,683.04,683.24,683.25,683.25
Kruunupyy,712.34,712.36,712.36,712.35,712.68,712.86,712.86,712.86,712.86,712.91,712.87,712.85
Laihia,504.24,504.24,504.24,504.3,504.3,504.3,504.3,505.16,505.16,505.16,505.15,505.16
Luoto,142.44,142.34,142.34,142.45,142.45,142.45,142.45,142.45,142.45,142.46,142.45,142.74
Maalahti,521.31,521.31,521.31,521.31,521.3,521.3,521.75,521.75,521.75,521.74,521.75,522.11
Mustasaari,848.14,848.72,848.72,848.72,848.83,848.96,849.07,849.13,849.13,849.16,849.17,849.49
Närpiö,977.26,977.51,977.51,977.5,977.52,977.71,977.71,977.71,977.71,977.74,977.82,977.82
Pedersören kunta,794.28,794.28,794.28,794.26,794.27,794.26,794.28,794.26,794.25,794.26,794.26,794.26
Pietarsaari,88.31,88.41,88.41,88.45,88.45,88.45,88.45,88.45,88.44,88.45,88.45,88.52
Uusikaarlepyy,732.37,732.66,732.66,732.66,732.65,732.65,732.66,732.66,732.64,732.7,732.71,732.83
Vaasa,364.48,364.26,364.26,364.5,364.54,364.55,364.67,364.67,364.67,364.72,364.73,364.84
Vöyri,781.31,781.98,781.98,781.97,781.85,782.0,782.12,782.14,782.2,782.14,782.14,782.13
Halsua,412.7,412.71,412.71,413.01,413.01,413.01,413.01,413.02,413.02,413.02,413.01,413.01
Kannus,468.24,468.24,468.24,468.23,468.23,468.33,468.33,468.33,468.33,468.04,468.04,468.04
Kaustinen,354.03,354.03,354.03,354.03,353.97,353.97,353.97,353.97,353.92,353.91,353.91,353.91
