City,2010_asukkaiden_keski_ika_he,2011_asukkaiden_keski_ika_he,2012_asukkaiden_keski_ika_he,2013_asukkaiden_keski_ika_he,2014_asukkaiden_keski_ika_he,2015_asukkaiden_keski_ika_he,2016_asukkaiden_keski_ika_he,2017_asukkaiden_keski_ika_he,2018_asukkaiden_keski_ika_he,2019_asukkaiden_keski_ika_he,2020_asukkaiden_keski_ika_he,2021_asukkaiden_keski_ika_he
Pudasjärvi,45.0,45.0,46.0,46.0,46.0,47.0,47.0,48.0,48.0,48.0,49.0,49.0
Pyhäjoki,43.0,43.0,44.0,44.0,44.0,45.0,45.0,45.0,45.0,46.0,46.0,46.0
Pyhäjärvi,46.0,47.0,47.0,47.0,48.0,48.0,48.0,49.0,49.0,50.0,50.0,50.0
Pyhäntä,40.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
Raahe,40.0,41.0,41.0,41.0,42.0,42.0,42.0,43.0,43.0,43.0,44.0,44.0
Reisjärvi,42.0,42.0,42.0,42.0,43.0,43.0,43.0,44.0,44.0,45.0,45.0,45.0
Sievi,36.0,36.0,37.0,37.0,37.0,37.0,37.0,38.0,38.0,39.0,39.0,39.0
Siikajoki,40.0,40.0,40.0,40.0,40.0,41.0,41.0,41.0,42.0,42.0,43.0,43.0
Siikalatva,45.0,45.0,46.0,46.0,46.0,47.0,47.0,48.0,48.0,48.0,49.0,49.0
Taivalkoski,43.0,43.0,44.0,45.0,45.0,45.0,46.0,47.0,48.0,48.0,49.0,49.0
Tyrnävä,33.0,33.0,33.0,33.0,33.0,33.0,34.0,34.0,34.0,35.0,35.0,35.0
Utajärvi,44.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0,48.0,48.0,49.0,49.0
Vaala,48.0,48.0,49.0,49.0,50.0,50.0,50.0,51.0,52.0,52.0,53.0,53.0
Ylivieska,39.0,39.0,38.0,38.0,38.0,39.0,39.0,39.0,40.0,40.0,40.0,40.0
Hyrynsalmi,50.0,50.0,51.0,52.0,52.0,53.0,53.0,54.0,55.0,55.0,55.0,56.0
Kajaani,41.0,42.0,42.0,42.0,42.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0
Kuhmo,48.0,48.0,49.0,49.0,50.0,50.0,51.0,51.0,52.0,52.0,53.0,53.0
Paltamo,46.0,47.0,47.0,48.0,49.0,49.0,49.0,50.0,50.0,51.0,51.0,51.0
Puolanka,49.0,50.0,51.0,51.0,52.0,53.0,53.0,53.0,54.0,55.0,55.0,55.0
Ristijärvi,51.0,51.0,52.0,53.0,53.0,53.0,53.0,54.0,54.0,54.0,55.0,55.0
Sotkamo,44.0,44.0,45.0,45.0,45.0,45.0,45.0,46.0,46.0,46.0,47.0,47.0
Suomussalmi,48.0,49.0,49.0,50.0,50.0,51.0,51.0,52.0,53.0,53.0,53.0,54.0
Enontekiö,46.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,48.0,48.0,49.0,49.0
