City,2011_ruotsinkielisia,2012_ruotsinkielisia,2013_ruotsinkielisia,2014_ruotsinkielisia,2015_ruotsinkielisia,2016_ruotsinkielisia,2017_ruotsinkielisia,2018_ruotsinkielisia,2019_ruotsinkielisia,2020_ruotsinkielisia,2021_ruotsinkielisia,2022_ruotsinkielisia
Lahti,378.0,390.0,391.0,405.0,407.0,420.0,427.0,453.0,469.0,481.0,505.0,506
Orimattila,91.0,90.0,98.0,95.0,97.0,99.0,99.0,103.0,97.0,98.0,94.0,96
Padasjoki,12.0,12.0,12.0,11.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,8
Sysmä,8.0,10.0,9.0,11.0,10.0,9.0,7.0,6.0,5.0,6.0,7.0,7
Hamina,73.0,71.0,72.0,72.0,72.0,73.0,71.0,71.0,65.0,60.0,60.0,61
Kotka,538.0,535.0,531.0,532.0,529.0,519.0,512.0,504.0,491.0,504.0,495.0,484
Kouvola,315.0,316.0,304.0,290.0,294.0,296.0,307.0,295.0,285.0,285.0,288.0,287
Miehikkälä,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,6.0,6.0,6
Pyhtää,453.0,448.0,438.0,440.0,421.0,415.0,401.0,385.0,369.0,365.0,353.0,348
Virolahti,18.0,18.0,17.0,16.0,16.0,14.0,14.0,14.0,13.0,17.0,17.0,13
Imatra,38.0,42.0,38.0,43.0,46.0,45.0,41.0,40.0,37.0,37.0,39.0,33
Lappeenranta,119.0,129.0,126.0,130.0,118.0,116.0,137.0,128.0,126.0,128.0,122.0,124
Lemi,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3
Luumäki,17.0,17.0,17.0,17.0,17.0,17.0,18.0,16.0,15.0,15.0,13.0,13
Parikkala,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8
Rautjärvi,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,5
Ruokolahti,5.0,5.0,5.0,4.0,4.0,5.0,6.0,10.0,11.0,12.0,12.0,11
Savitaipale,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,7.0,7.0,11
Taipalsaari,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,9.0,9.0,8.0,8
Enonkoski,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2
Hirvensalmi,6.0,6.0,7.0,7.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,9
Juva,12.0,14.0,16.0,16.0,16.0,18.0,19.0,20.0,19.0,19.0,18.0,15
Kangasniemi,3.0,3.0,3.0,5.0,6.0,6.0,7.0,7.0,7.0,6.0,8.0,10
Mikkeli,80.0,77.0,80.0,89.0,86.0,80.0,79.0,82.0,82.0,84.0,87.0,85
Mäntyharju,9.0,11.0,11.0,12.0,13.0,13.0,11.0,12.0,12.0,16.0,14.0,13
Pertunmaa,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5
Pieksämäki,19.0,23.0,23.0,21.0,20.0,20.0,20.0,20.0,21.0,21.0,19.0,20
Puumala,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5
Rantasalmi,8.0,8.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7
Savonlinna,54.0,45.0,47.0,44.0,47.0,45.0,44.0,42.0,41.0,40.0,44.0,45
Sulkava,2.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4
Iisalmi,8.0,8.0,8.0,5.0,5.0,5.0,9.0,8.0,7.0,9.0,6.0,9
Joroinen,20.0,15.0,16.0,18.0,16.0,19.0,22.0,21.0,20.0,19.0,19.0,18
Kaavi,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,4
Keitele,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2
Kiuruvesi,4.0,5.0,6.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,0
Kuopio,120.0,118.0,116.0,119.0,119.0,120.0,129.0,123.0,124.0,130.0,129.0,140
Lapinlahti,11.0,11.0,10.0,11.0,13.0,10.0,10.0,11.0,10.0,10.0,10.0,11
Leppävirta,6.0,7.0,8.0,8.0,9.0,10.0,11.0,11.0,11.0,13.0,13.0,15
Pielavesi,6.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,8.0,8.0,9.0,9
Rautalampi,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3
Rautavaara,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Siilinjärvi,15.0,13.0,12.0,11.0,11.0,14.0,9.0,10.0,10.0,12.0,16.0,16
Sonkajärvi,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,3
Suonenjoki,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,6
