City,2011_ulkomaalaistaustaisia,2012_ulkomaalaistaustaisia,2013_ulkomaalaistaustaisia,2014_ulkomaalaistaustaisia,2015_ulkomaalaistaustaisia,2016_ulkomaalaistaustaisia,2017_ulkomaalaistaustaisia,2018_ulkomaalaistaustaisia,2019_ulkomaalaistaustaisia,2020_ulkomaalaistaustaisia,2021_ulkomaalaistaustaisia,2022_ulkomaalaistaustaisia
Masku,107.0,117.0,126.0,126.0,125.0,135.0,150.0,158.0,172.0,212.0,228.0,243
Mynämäki,104.0,110.0,121.0,119.0,125.0,132.0,137.0,150.0,171.0,188.0,219.0,243
Naantali,289.0,296.0,321.0,361.0,381.0,422.0,447.0,501.0,534.0,575.0,630.0,670
Nousiainen,52.0,55.0,65.0,74.0,69.0,68.0,69.0,78.0,80.0,92.0,111.0,119
Oripää,53.0,64.0,73.0,86.0,81.0,76.0,80.0,97.0,96.0,99.0,112.0,107
Paimio,132.0,144.0,151.0,159.0,181.0,217.0,247.0,286.0,296.0,324.0,351.0,402
Parainen,334.0,353.0,386.0,411.0,431.0,452.0,492.0,530.0,550.0,556.0,579.0,649
Pyhäranta,21.0,22.0,24.0,27.0,29.0,25.0,26.0,31.0,38.0,39.0,46.0,54
Pöytyä,136.0,172.0,190.0,222.0,240.0,262.0,279.0,285.0,306.0,338.0,367.0,394
Raisio,1262.0,1372.0,1470.0,1569.0,1627.0,1691.0,1818.0,1933.0,2036.0,2264.0,2469.0,2685
Rusko,50.0,52.0,66.0,72.0,75.0,104.0,119.0,128.0,146.0,159.0,182.0,201
Salo,2962.0,2979.0,2986.0,3155.0,3161.0,3273.0,3263.0,3280.0,3295.0,3427.0,3517.0,3758
Sauvo,68.0,65.0,66.0,68.0,68.0,67.0,75.0,86.0,89.0,87.0,102.0,108
Somero,219.0,227.0,237.0,272.0,264.0,280.0,286.0,282.0,301.0,311.0,315.0,320
Taivassalo,47.0,60.0,61.0,67.0,66.0,66.0,74.0,77.0,77.0,83.0,89.0,100
Turku,15044.0,16314.0,17400.0,18445.0,19406.0,20500.0,21615.0,22499.0,23431.0,24559.0,25756.0,27992
Uusikaupunki,168.0,189.0,211.0,283.0,337.0,374.0,556.0,800.0,937.0,1031.0,1226.0,1155
Vehmaa,21.0,23.0,31.0,33.0,38.0,41.0,48.0,48.0,51.0,67.0,78.0,81
Eura,213.0,247.0,289.0,313.0,330.0,342.0,350.0,374.0,387.0,394.0,427.0,452
