"MK09 Etelä-Karjala"	"2031"	118916	5684	5199	2939	3441	40550	22263	17034	21806	59618	2911	2662	1513	1768	21955	11234	8326	9249	59298	2773	2537	1426	1673	18595	11029	8708	12557
"MK10 Etelä-Savo"	"2021"	131025	6268	7127	3840	3969	38222	28853	23190	19556	64709	3170	3652	1957	2078	20064	14473	11423	7892	66316	3098	3475	1883	1891	18158	14380	11767	11664
"MK10 Etelä-Savo"	"2022"	129368	6013	6961	3739	3953	37553	27895	22841	20413	63886	3053	3553	1932	2049	19721	13998	11267	8313	65482	2960	3408	1807	1904	17832	13897	11574	12100
"MK10 Etelä-Savo"	"2023"	127790	5762	6795	3688	3863	37075	27000	22451	21156	63105	2947	3441	1892	2018	19495	13516	11068	8728	64685	2815	3354	1796	1845	17580	13484	11383	12428
"MK10 Etelä-Savo"	"2024"	126273	5579	6488	3701	3821	36488	26264	22085	21847	62350	2861	3279	1891	1982	19215	13149	10902	9071	63923	2718	3209	1810	1839	17273	13115	11183	12776
"MK10 Etelä-Savo"	"2025"	124814	5478	6203	3618	3738	35930	25496	21851	22500	61628	2803	3131	1856	1959	18918	12733	10843	9385	63186	2675	3072	1762	1779	17012	12763	11008	13115
"MK10 Etelä-Savo"	"2026"	123403	5402	5860	3585	3690	35326	24894	21558	23088	60934	2766	2949	1840	1918	18631	12432	10680	9718	62469	2636	2911	1745	1772	16695	12462	10878	13370
"MK10 Etelä-Savo"	"2027"	122048	5331	5529	3466	3708	34883	24185	21233	23713	60268	2728	2793	1769	1924	18452	12050	10509	10043	61780	2603	2736	1697	1784	16431	12135	10724	13670
"MK10 Etelä-Savo"	"2028"	120728	5207	5321	3379	3632	34458	23577	20940	24214	59615	2664	2699	1705	1889	18250	11735	10343	10330	61113	2543	2622	1674	1743	16208	11842	10597	13884
"MK10 Etelä-Savo"	"2029"	119446	5092	5114	3258	3589	34086	22941	20687	24679	58981	2606	2612	1617	1870	18067	11390	10241	10578	60465	2486	2502	1641	1719	16019	11551	10446	14101
"MK10 Etelä-Savo"	"2030"	118190	4992	4967	3082	3483	33740	22404	20366	25156	58367	2557	2540	1535	1801	17898	11142	10072	10822	59823	2435	2427	1547	1682	15842	11262	10294	14334
