City,2011_vakiluvun_muutos_p,2012_vakiluvun_muutos_p,2013_vakiluvun_muutos_p,2014_vakiluvun_muutos_p,2015_vakiluvun_muutos_p,2016_vakiluvun_muutos_p,2017_vakiluvun_muutos_p,2018_vakiluvun_muutos_p,2019_vakiluvun_muutos_p,2020_vakiluvun_muutos_p,2021_vakiluvun_muutos_p,2022_vakiluvun_muutos_p
Polvijärvi,-0.5,-1.0,-1.4,-1.2,-1.1,-0.9,-2.2,-2.4,-1.4,-1.1,-1.0,-1.9
Rääkkylä,-0.9,-1.7,-0.9,-1.3,-3.5,-3.4,-1.2,-2.6,-2.5,-2.8,-1.6,-3.5
Tohmajärvi,-0.3,-1.9,-0.4,-1.7,-1.2,-1.8,-1.8,-1.9,-2.7,-1.2,-1.5,-1.9
Hankasalmi,-0.9,-0.7,-0.9,-1.8,-1.3,-1.5,-2.7,-1.6,-1.3,-1.9,-2.1,-1.8
Joutsa,-1.9,-1.2,-0.8,-1.5,-2.0,-0.3,-2.3,-2.2,-2.0,-1.8,-0.8,-2.2
Jyväskylä,1.0,1.1,0.9,0.8,1.2,1.1,1.0,0.8,0.8,0.7,0.7,1.0
Jämsä,-0.8,-0.7,-1.0,-1.5,-1.2,-1.3,-1.8,-1.3,-2.1,-1.5,-0.6,-2.1
Kannonkoski,-2.1,0.6,-2.1,-3.0,-0.9,-2.6,-1.1,-3.9,-1.0,-1.2,-0.9,-3.2
Karstula,-1.0,-1.9,-0.8,-1.3,-0.4,-0.8,-2.0,-2.8,-2.0,-2.3,-2.2,-2.9
Keuruu,-0.9,-0.8,-1.7,-1.3,-0.6,-1.2,-0.7,-1.6,-1.6,-1.2,-0.5,-2.0
Kinnula,-0.3,-2.9,0.3,-0.2,-1.2,-2.6,-2.5,-2.5,0.3,-1.4,-1.0,-1.7
Kivijärvi,-2.2,-2.3,-3.4,-1.2,-3.5,-3.3,-2.5,-2.6,-0.6,1.0,-1.7,-2.2
Konnevesi,-1.3,-0.7,-2.0,-0.5,-2.6,-0.1,-0.2,-1.8,-2.6,-1.3,-0.3,-2.5
Kyyjärvi,-0.3,-2.3,-2.6,-2.2,-1.4,-0.3,-1.7,-0.7,-2.2,-1.9,-4.3,-2.9
Laukaa,0.8,1.1,0.6,0.7,0.8,0.6,0.0,-0.3,-0.1,-0.4,-0.2,-0.1
Luhanka,-3.5,-3.6,-1.3,-0.3,0.0,-0.7,-2.9,-3.7,-2.4,1.3,0.6,-1.6
Multia,-2.3,-1.7,-2.1,-0.8,-3.0,-2.7,-1.6,-3.2,-1.1,-0.5,-4.5,-0.7
Muurame,2.0,1.4,0.0,1.3,0.9,1.5,1.6,0.7,-0.1,1.0,1.5,0.6
Petäjävesi,1.1,0.7,0.7,-1.1,-1.8,-0.7,-1.5,-0.5,-1.5,-1.8,-2.5,-0.7
Pihtipudas,-1.4,-1.3,-2.0,-2.1,-0.9,-0.5,-1.8,-1.8,-0.5,-2.5,-1.5,-2.2
Saarijärvi,-1.9,-1.2,-0.9,-0.8,-1.7,-2.3,-1.0,-1.8,-1.1,-1.1,-1.0,-1.6
Toivakka,2.4,-0.8,0.4,0.2,-1.7,0.0,-2.0,0.9,-0.7,0.5,-0.6,0.8
Uurainen,1.5,1.8,0.7,0.5,1.5,1.4,0.8,1.0,-2.7,-1.0,-0.3,-1.2
Viitasaari,-1.5,-1.5,-0.9,-1.7,-1.7,-0.9,-3.0,-2.3,-1.4,-1.3,-0.4,-2.0
Äänekoski,0.4,-0.3,-0.9,-0.8,-1.3,-1.4,-1.2,-1.5,-0.5,-1.0,-1.4,-1.1
Alajärvi,-1.5,-0.6,-0.4,-0.5,-1.6,-1.1,-0.7,-1.3,-1.4,-1.5,-1.1,-1.4
Alavus,-0.4,-0.4,-0.9,-1.0,-0.5,-1.1,-1.6,-1.4,-0.7,-1.2,-1.2,-0.8
Evijärvi,-0.3,-2.2,0.0,-1.3,-2.8,-1.6,-1.4,-1.0,-1.9,-0.7,-0.2,-2.4
Ilmajoki,0.5,1.0,0.6,0.7,-0.2,0.1,0.3,-0.1,0.7,0.2,0.6,0.0
Isojoki,-1.9,-2.7,-1.4,-2.6,-3.4,-2.1,-2.3,-2.8,-1.3,-1.3,-1.8,-2.1
Isokyrö,-0.6,-1.0,-0.7,-0.2,-1.2,-1.5,-0.8,-1.5,-1.7,-1.1,0.2,-1.7
Karijoki,0.4,-0.9,-3.4,-3.6,-2.8,-1.5,-1.5,-4.1,-2.3,-3.1,-1.2,0.7
Kauhajoki,-0.5,-0.2,-0.6,-0.5,-0.9,-0.7,-1.2,-1.7,-1.4,-1.3,-0.9,-1.1
Kauhava,-0.2,-0.4,-0.8,-0.9,-0.7,-1.1,-1.9,-1.6,-1.8,-1.3,-1.3,-1.3
Kuortane,-0.9,-1.5,-0.8,-2.4,-0.3,-0.7,-1.4,-1.8,-0.6,-0.5,-0.2,-2.6
Kurikka,-0.8,-0.7,-0.7,-1.1,-1.5,-1.1,-1.4,-1.2,-1.3,-1.1,-1.3,-1.5
Lappajärvi,-0.1,-1.5,-2.0,-1.7,-1.4,-1.2,-1.1,-2.0,-2.7,-2.4,-2.0,-1.6
Lapua,0.7,0.8,0.3,0.3,-0.8,-0.2,-0.6,-0.5,-1.0,-0.4,-0.1,-0.7
Seinäjoki,1.5,1.5,1.3,0.9,1.1,0.8,1.0,1.0,0.8,0.5,0.9,0.9
Soini,-1.3,-1.3,-1.9,-0.5,-2.2,-1.7,-3.3,-1.4,-1.6,-2.2,-0.5,-2.8
Teuva,-1.3,-1.4,-1.9,-2.0,-1.1,-2.2,-1.8,-2.1,-1.6,-1.6,-0.8,-1.8
Vimpeli,-1.0,-0.5,-1.1,-2.0,-1.1,-1.6,-1.7,-2.5,-2.6,-1.5,-1.0,-3.1
Ähtäri,-1.1,-0.8,-1.4,-1.5,-1.8,-1.4,-1.3,-3.4,-1.5,-1.7,-0.7,-1.4
Kaskinen,-1.7,-1.6,-2.3,-1.9,-2.9,0.9,-1.7,-0.9,-1.3,2.6,0.9,-2.6
Korsnäs,-0.5,-0.8,-0.6,0.0,-0.8,-1.4,-0.8,-1.5,-2.1,-0.4,-0.9,-1.3
Kristiinankaupunki,-0.9,-0.6,-0.8,-2.2,-0.8,-1.0,-1.3,-0.6,-1.7,-1.3,-0.4,-2.2
Kruunupyy,-0.7,-0.2,0.2,-0.3,0.3,-0.9,-1.3,-0.3,-1.2,-0.2,0.4,-0.6
Laihia,0.8,0.8,0.2,0.8,0.3,0.6,-1.1,0.1,-0.5,-0.3,-1.0,-1.3
Luoto,2.2,0.9,2.0,0.8,0.8,0.6,1.7,1.4,1.4,2.2,1.6,2.0
Maalahti,0.2,-0.5,-0.1,-0.1,-0.5,-0.5,-0.7,0.0,0.0,-0.4,0.7,-0.1
Mustasaari,1.2,0.8,0.7,0.7,0.1,0.4,0.0,0.3,0.0,0.0,0.4,0.6
Närpiö,-0.2,-0.3,-0.5,0.6,0.0,0.6,0.7,-0.4,0.1,0.8,0.0,0.2
Pedersören kunta,0.4,0.0,0.3,0.8,0.6,-0.6,0.2,-0.6,0.6,0.8,0.0,0.3
Pietarsaari,-0.2,0.3,-0.2,-0.3,-0.7,-0.3,0.0,-0.5,-0.4,-0.7,0.2,0.6
Uusikaarlepyy,0.8,0.2,-0.1,0.1,0.4,-0.6,0.1,-0.9,0.1,0.2,0.2,-0.8
Vaasa,1.3,0.8,1.0,1.0,1.0,0.0,-0.3,0.2,0.1,-0.1,0.1,0.6
Vöyri,0.8,-0.9,0.2,0.2,0.1,-0.4,-1.0,0.0,-2.3,-1.1,-0.2,-1.4
Halsua,-1.1,-2.1,-1.5,-0.6,0.2,-0.5,-3.9,-0.5,-3.3,-2.1,-1.8,-2.9
Kannus,-0.7,0.7,-1.1,-0.6,-0.9,-0.2,-1.0,-0.3,-0.7,-0.7,-0.7,-0.7
Kaustinen,-0.5,0.2,0.0,-0.1,0.5,-0.2,0.3,-0.8,-0.3,-0.8,-0.8,0.0
Kokkola,0.7,0.4,0.6,0.5,0.6,0.3,0.0,-0.1,0.1,0.2,0.3,0.2
Lestijärvi,-0.7,-1.4,-2.0,-0.1,-2.3,1.6,-2.7,-6.6,-2.4,0.4,-0.4,-3.3
Perho,-0.8,0.4,0.0,-1.0,1.3,-0.8,-1.6,-1.2,-2.3,-1.9,-1.1,-0.9
Toholampi,0.1,-1.7,-1.3,-0.8,-1.3,-2.4,-1.2,-2.5,-2.5,-2.2,-0.9,-1.2
Veteli,-1.8,-0.7,-1.5,0.3,-1.2,-1.3,-1.3,-1.6,-1.6,-1.6,-2.0,-1.9
Alavieska,-0.7,0.4,-0.8,-1.9,0.0,-1.8,-1.1,-1.4,-2.1,-0.1,-1.0,-1.8
Haapajärvi,-0.4,0.4,-0.3,-1.8,-0.5,-1.4,-1.1,-1.4,-1.9,-1.6,-1.4,-1.7
Haapavesi,-0.5,-1.4,-0.6,-0.9,-0.1,-1.0,-1.8,-1.7,-1.4,-1.3,-0.8,-0.3
Hailuoto,0.0,-1.8,1.3,-0.2,-0.4,0.1,-2.7,0.7,-1.5,-1.0,0.1,1.1
Ii,1.2,0.8,0.4,0.6,0.0,-0.4,3.5,-1.0,-0.2,0.0,0.6,-0.6
