City,2010_asukkaiden_keskitulot_hr,2011_asukkaiden_keskitulot_hr,2012_asukkaiden_keskitulot_hr,2013_asukkaiden_keskitulot_hr,2014_asukkaiden_keskitulot_hr,2015_asukkaiden_keskitulot_hr,2016_asukkaiden_keskitulot_hr,2017_asukkaiden_keskitulot_hr,2018_asukkaiden_keskitulot_hr,2019_asukkaiden_keskitulot_hr,2020_asukkaiden_keskitulot_hr,2021_asukkaiden_keskitulot_hr
Pertunmaa,17731.0,18739.0,18544.0,19107.0,19361.0,19291.0,19972.0,20443.0,21113.0,22057.0,21422.0,22345.0
Pieksämäki,19023.0,19495.0,19935.0,20179.0,20564.0,20491.0,20653.0,21106.0,21495.0,21980.0,22176.0,23046.0
Puumala,17673.0,18326.0,18971.0,19779.0,20547.0,20366.0,20685.0,21686.0,22228.0,23144.0,23658.0,24958.0
Rantasalmi,19110.0,18568.0,18663.0,19269.0,19810.0,19824.0,20194.0,20556.0,21802.0,21683.0,21636.0,22996.0
Savonlinna,18914.0,19605.0,19918.0,20139.0,20305.0,20359.0,20501.0,20989.0,21739.0,22108.0,22154.0,23080.0
Sulkava,19371.0,19136.0,18362.0,18619.0,18564.0,18733.0,19535.0,19629.0,20144.0,20967.0,21117.0,22266.0
Iisalmi,19400.0,20421.0,20738.0,21207.0,21270.0,21348.0,21764.0,22388.0,23050.0,23522.0,23586.0,24634.0
Joroinen,20001.0,20366.0,20623.0,20937.0,21298.0,21451.0,21587.0,22045.0,22852.0,23128.0,23726.0,24491.0
Kaavi,16986.0,17838.0,18121.0,18574.0,18960.0,18736.0,18925.0,19547.0,20284.0,20771.0,21226.0,22044.0
Keitele,18778.0,19371.0,19413.0,20064.0,20389.0,20238.0,20655.0,20514.0,21610.0,22226.0,22041.0,23700.0
Kiuruvesi,17836.0,18213.0,18817.0,19075.0,19383.0,19401.0,19915.0,20618.0,21826.0,21682.0,21732.0,22806.0
Kuopio,20144.0,20904.0,21508.0,21887.0,21976.0,21997.0,22563.0,22940.0,23750.0,24234.0,24518.0,25442.0
Lapinlahti,18494.0,19253.0,19890.0,20299.0,20587.0,20532.0,21002.0,21524.0,22144.0,22490.0,22638.0,23653.0
Leppävirta,19489.0,20337.0,20999.0,21028.0,21448.0,21483.0,21935.0,22611.0,23161.0,23700.0,23918.0,25819.0
Pielavesi,17585.0,18337.0,18627.0,19154.0,19345.0,19563.0,19650.0,20221.0,21143.0,21264.0,21212.0,22171.0
Rautalampi,18385.0,18475.0,18668.0,19066.0,19293.0,19592.0,19795.0,20245.0,20934.0,21214.0,21589.0,22371.0
Rautavaara,15881.0,16488.0,17105.0,17629.0,18233.0,17898.0,18302.0,18555.0,19336.0,19546.0,19967.0,20732.0
Siilinjärvi,21543.0,22431.0,22944.0,23371.0,23532.0,23375.0,23768.0,24405.0,25005.0,25507.0,25492.0,26328.0
Sonkajärvi,17550.0,18158.0,18686.0,18789.0,19444.0,19276.0,19668.0,20268.0,21443.0,21559.0,21525.0,22435.0
Suonenjoki,18748.0,19242.0,19629.0,20138.0,20282.0,20313.0,20617.0,21023.0,22030.0,22135.0,22286.0,23174.0
Tervo,16962.0,17797.0,17969.0,19151.0,19414.0,19588.0,19967.0,19910.0,20862.0,21326.0,21494.0,22476.0
Tuusniemi,17352.0,18161.0,18565.0,19102.0,19025.0,19199.0,19323.0,19596.0,20771.0,21102.0,21063.0,22518.0
Varkaus,19023.0,19656.0,20022.0,20459.0,20536.0,20821.0,21088.0,21511.0,21972.0,22573.0,22865.0,23804.0
Vesanto,17473.0,17451.0,17836.0,18191.0,18613.0,18433.0,19049.0,19606.0,20146.0,20511.0,21023.0,22086.0
Vieremä,18633.0,19734.0,20277.0,20548.0,20672.0,20830.0,21413.0,22172.0,23933.0,24204.0,23455.0,25072.0
Heinävesi,17838.0,18508.0,19061.0,19426.0,19564.0,20973.0,20373.0,20448.0,21536.0,21441.0,21746.0,22905.0
Ilomantsi,17161.0,17673.0,18307.0,18874.0,19070.0,19384.0,19697.0,19887.0,20448.0,20522.0,20828.0,21594.0
Joensuu,18994.0,19834.0,20207.0,20540.0,20614.0,20719.0,20964.0,21450.0,22096.0,22548.0,22889.0,23801.0
Juuka,16952.0,17826.0,17758.0,18451.0,18669.0,18508.0,18921.0,19316.0,20139.0,20220.0,20437.0,21150.0
Kitee,17892.0,18589.0,18863.0,19435.0,19973.0,19592.0,20029.0,20463.0,20919.0,21586.0,21563.0,22237.0
Kontiolahti,21381.0,22822.0,22650.0,23138.0,23454.0,23601.0,23849.0,24300.0,25170.0,25756.0,26027.0,27398.0
Lieksa,17404.0,18044.0,18643.0,18967.0,19131.0,19317.0,19509.0,19851.0,20708.0,20759.0,21110.0,21729.0
Liperi,19204.0,20229.0,20757.0,21020.0,21316.0,21317.0,21597.0,22274.0,22740.0,23373.0,23641.0,24627.0
Nurmes,17244.0,17880.0,18419.0,18833.0,19206.0,19347.0,19482.0,19920.0,20718.0,20996.0,21287.0,22002.0
Outokumpu,17768.0,18196.0,18475.0,18837.0,19045.0,19147.0,19520.0,19969.0,20632.0,21102.0,21162.0,22106.0
Polvijärvi,16862.0,17746.0,18346.0,18889.0,19301.0,19292.0,19468.0,19788.0,20575.0,20638.0,20982.0,21954.0
Rääkkylä,16432.0,17229.0,17609.0,17990.0,18402.0,18641.0,18703.0,18941.0,19711.0,20160.0,20338.0,21102.0
Tohmajärvi,17603.0,18113.0,18416.0,18782.0,19410.0,19363.0,19738.0,20692.0,20830.0,21154.0,21493.0,22315.0
Hankasalmi,17874.0,18481.0,18782.0,19145.0,19572.0,19403.0,19967.0,20481.0,21122.0,21500.0,21748.0,22794.0
Joutsa,17945.0,18689.0,19146.0,19499.0,19582.0,19667.0,20146.0,20888.0,21475.0,21676.0,22054.0,23169.0
Jyväskylä,20253.0,20814.0,21121.0,21267.0,21626.0,21725.0,22081.0,22843.0,23564.0,23822.0,24279.0,25283.0
