City,2010_asukkaiden_ostovoimakertyma_hr,2011_asukkaiden_ostovoimakertyma_hr,2012_asukkaiden_ostovoimakertyma_hr,2013_asukkaiden_ostovoimakertyma_hr,2014_asukkaiden_ostovoimakertyma_hr,2015_asukkaiden_ostovoimakertyma_hr,2016_asukkaiden_ostovoimakertyma_hr,2017_asukkaiden_ostovoimakertyma_hr,2018_asukkaiden_ostovoimakertyma_hr,2019_asukkaiden_ostovoimakertyma_hr,2020_asukkaiden_ostovoimakertyma_hr,2021_asukkaiden_ostovoimakertyma_hr
Alavieska,3.8019225E7,3.9018977E7,4.059857E7,4.056036E7,4.2240697E7,4.1950695E7,4.1536219E7,4.2578303E7,4.429222E7,4.4006833E7,4.5134048E7,4.6033918E7
Haapajärvi,1.06031289E8,1.10235608E8,1.13054133E8,1.14363885E8,1.15339199E8,1.13846166E8,1.13967072E8,1.1770969E8,1.21161719E8,1.19954712E8,1.22341705E8,1.27790944E8
Haapavesi,1.02665735E8,1.06040014E8,1.07564345E8,1.1009315E8,1.10980071E8,1.09839095E8,1.08471616E8,1.09849916E8,1.1192026E8,1.13819092E8,1.1332591E8,1.17465524E8
Hailuoto,1.6630086E7,1.7487575E7,1.7544988E7,1.8084237E7,1.8910218E7,1.8346838E7,1.8924436E7,1.9280946E7,1.9747838E7,1.9281013E7,2.0208359E7,2.1247975E7
Ii,1.31271912E8,1.3861144E8,1.44564917E8,1.4687495E8,1.49141691E8,1.50939597E8,1.53647343E8,1.63435922E8,1.6861767E8,1.74107808E8,1.76864125E8,1.83339446E8
Kalajoki,1.89016533E8,1.99999641E8,2.03664177E8,2.07096036E8,2.14885094E8,2.12951413E8,2.14710473E8,2.20231978E8,2.23784974E8,2.28269647E8,2.28568413E8,2.41537978E8
Kempele,2.55112679E8,2.6825935E8,2.81090858E8,2.93476902E8,2.90832453E8,2.97695594E8,3.09094469E8,3.27058148E8,3.39227137E8,3.60870769E8,3.80845293E8,4.01753813E8
Kuusamo,2.44362399E8,2.52811837E8,2.58160693E8,2.60061674E8,2.62116438E8,2.62302829E8,2.65317819E8,2.68514611E8,2.75412989E8,2.82061792E8,2.85262799E8,2.99565268E8
Kärsämäki,3.8411761E7,3.9286465E7,4.017085E7,4.0487267E7,4.0528798E7,4.1437794E7,4.0689891E7,4.1657539E7,4.3322518E7,4.3090871E7,4.3417106E7,4.5220093E7
Liminka,1.23500097E8,1.31927034E8,1.39105049E8,1.42368863E8,1.4401037E8,1.49138104E8,1.53833683E8,1.60357679E8,1.67436795E8,1.71892384E8,1.757313E8,1.83905355E8
