City,2011_vaesto_31_12,2012_vaesto_31_12,2013_vaesto_31_12,2014_vaesto_31_12,2015_vaesto_31_12,2016_vaesto_31_12,2017_vaesto_31_12,2018_vaesto_31_12,2019_vaesto_31_12,2020_vaesto_31_12,2021_vaesto_31_12,2022_vaesto_31_12
Kaskinen,1404.0,1382.0,1350.0,1324.0,1285.0,1296.0,1274.0,1262.0,1246.0,1278.0,1289.0,1256
Korsnäs,2249.0,2232.0,2218.0,2219.0,2201.0,2171.0,2154.0,2122.0,2077.0,2068.0,2050.0,2024
Kristiinankaupunki,7096.0,7055.0,7001.0,6845.0,6793.0,6727.0,6638.0,6596.0,6486.0,6404.0,6380.0,6242
Kruunupyy,6681.0,6666.0,6682.0,6662.0,6682.0,6620.0,6531.0,6509.0,6428.0,6416.0,6442.0,6405
Laihia,7933.0,7993.0,8007.0,8068.0,8090.0,8139.0,8051.0,8058.0,8017.0,7996.0,7916.0,7817
Luoto,4921.0,4966.0,5065.0,5107.0,5147.0,5176.0,5264.0,5340.0,5417.0,5534.0,5622.0,5732
Maalahti,5614.0,5586.0,5580.0,5573.0,5545.0,5517.0,5477.0,5477.0,5475.0,5451.0,5487.0,5479
Mustasaari,18868.0,19012.0,19153.0,19287.0,19302.0,19380.0,19384.0,19444.0,19448.0,19453.0,19536.0,19662
Närpiö,9412.0,9380.0,9335.0,9389.0,9387.0,9439.0,9507.0,9471.0,9479.0,9558.0,9562.0,9584
Pedersören kunta,10937.0,10940.0,10970.0,11060.0,11129.0,11067.0,11084.0,11016.0,11081.0,11174.0,11172.0,11206
Pietarsaari,19623.0,19680.0,19633.0,19577.0,19436.0,19377.0,19379.0,19278.0,19208.0,19066.0,19097.0,19207
Uusikaarlepyy,7516.0,7531.0,7524.0,7533.0,7564.0,7516.0,7521.0,7455.0,7464.0,7479.0,7497.0,7434
Vaasa,65173.0,65674.0,66321.0,66965.0,67619.0,67620.0,67392.0,67552.0,67636.0,67551.0,67615.0,67988
Vöyri,6743.0,6680.0,6691.0,6705.0,6714.0,6684.0,6616.0,6613.0,6461.0,6388.0,6376.0,6287
Halsua,1275.0,1248.0,1229.0,1222.0,1225.0,1219.0,1171.0,1165.0,1127.0,1103.0,1083.0,1052
Kannus,5697.0,5736.0,5675.0,5643.0,5590.0,5578.0,5520.0,5502.0,5464.0,5426.0,5390.0,5352
Kaustinen,4280.0,4287.0,4288.0,4283.0,4305.0,4298.0,4309.0,4273.0,4261.0,4228.0,4196.0,4198
Kokkola,46585.0,46773.0,47031.0,47278.0,47570.0,47723.0,47723.0,47657.0,47681.0,47772.0,47909.0,48006
Lestijärvi,847.0,835.0,818.0,817.0,798.0,811.0,789.0,737.0,719.0,722.0,719.0,695
Perho,2910.0,2923.0,2923.0,2893.0,2931.0,2907.0,2860.0,2825.0,2759.0,2706.0,2676.0,2653
Toholampi,3485.0,3426.0,3381.0,3354.0,3311.0,3232.0,3192.0,3112.0,3033.0,2966.0,2938.0,2903
Veteli,3405.0,3382.0,3332.0,3342.0,3302.0,3259.0,3216.0,3166.0,3114.0,3065.0,3004.0,2946
Alavieska,2750.0,2761.0,2740.0,2687.0,2687.0,2639.0,2610.0,2573.0,2519.0,2517.0,2491.0,2447
Haapajärvi,7609.0,7641.0,7616.0,7479.0,7438.0,7332.0,7251.0,7147.0,7010.0,6896.0,6802.0,6687
Haapavesi,7384.0,7283.0,7241.0,7175.0,7167.0,7098.0,6970.0,6854.0,6758.0,6667.0,6613.0,6591
Hailuoto,1004.0,986.0,999.0,997.0,993.0,994.0,967.0,974.0,959.0,949.0,950.0,960
Ii,9499.0,9574.0,9610.0,9666.0,9663.0,9628.0,9966.0,9862.0,9844.0,9848.0,9912.0,9853
Kalajoki,12616.0,12625.0,12644.0,12632.0,12621.0,12586.0,12516.0,12387.0,12373.0,12400.0,12412.0,12335
Kempele,16182.0,16383.0,16605.0,16889.0,17066.0,17297.0,17535.0,17923.0,18355.0,18796.0,19116.0,19300
Kuusamo,16373.0,16167.0,15952.0,15823.0,15688.0,15533.0,15386.0,15207.0,15134.0,15213.0,15165.0,15146
Kärsämäki,2819.0,2760.0,2721.0,2696.0,2658.0,2655.0,2611.0,2613.0,2576.0,2538.0,2533.0,2474
Liminka,9164.0,9432.0,9577.0,9740.0,9937.0,10000.0,10133.0,10161.0,10191.0,10238.0,10218.0,10258
Lumijoki,2037.0,2059.0,2084.0,2074.0,2076.0,2105.0,2081.0,2052.0,2020.0,2036.0,2018.0,1988
Merijärvi,1199.0,1176.0,1153.0,1150.0,1134.0,1131.0,1119.0,1104.0,1089.0,1078.0,1076.0,1067
Muhos,8909.0,8948.0,8998.0,8986.0,9063.0,8995.0,9019.0,8980.0,8908.0,8903.0,8909.0,8882
Nivala,11051.0,10985.0,10942.0,10945.0,10876.0,10889.0,10815.0,10737.0,10639.0,10500.0,10396.0,10419
Oulainen,7916.0,7847.0,7772.0,7725.0,7610.0,7514.0,7472.0,7430.0,7288.0,7155.0,7102.0,7025
Oulu,188114.0,190847.0,193798.0,196291.0,198525.0,200526.0,201810.0,203567.0,205489.0,207327.0,209551.0,211848
Pudasjärvi,8695.0,8620.0,8537.0,8399.0,8257.0,8187.0,8103.0,7990.0,7873.0,7779.0,7702.0,7603
Pyhäjoki,3361.0,3311.0,3356.0,3290.0,3211.0,3188.0,3189.0,3146.0,3077.0,3051.0,3048.0,2991
Pyhäjärvi,5887.0,5849.0,5731.0,5562.0,5505.0,5446.0,5337.0,5248.0,5131.0,5033.0,4964.0,4835
Pyhäntä,1584.0,1566.0,1545.0,1562.0,1587.0,1579.0,1579.0,1557.0,1578.0,1593.0,1631.0,1635
Raahe,25652.0,25659.0,25507.0,25383.0,25165.0,25010.0,25001.0,24811.0,24679.0,24353.0,24260.0,24073
Reisjärvi,2996.0,2961.0,2925.0,2901.0,2894.0,2854.0,2813.0,2743.0,2718.0,2710.0,2690.0,2636
Sievi,5285.0,5241.0,5198.0,5154.0,5124.0,5069.0,5035.0,4980.0,4910.0,4834.0,4781.0,4735
Siikajoki,5639.0,5597.0,5593.0,5526.0,5466.0,5366.0,5343.0,5249.0,5145.0,5034.0,5028.0,4897
Siikalatva,6061.0,5983.0,5857.0,5816.0,5677.0,5583.0,5447.0,5301.0,5231.0,5203.0,5131.0,5029
Taivalkoski,4422.0,4313.0,4251.0,4231.0,4199.0,4133.0,4058.0,4024.0,3976.0,3916.0,3913.0,3825
Tyrnävä,6462.0,6613.0,6642.0,6735.0,6793.0,6750.0,6730.0,6758.0,6637.0,6603.0,6593.0,6562
Utajärvi,2951.0,2950.0,2945.0,2907.0,2861.0,2824.0,2768.0,2702.0,2676.0,2619.0,2568.0,2523
Vaala,3314.0,3250.0,3193.0,3139.0,3074.0,3040.0,2941.0,2869.0,2792.0,2737.0,2673.0,2626
Ylivieska,14266.0,14533.0,14748.0,14976.0,15039.0,15199.0,15251.0,15212.0,15255.0,15304.0,15357.0,15293
Hyrynsalmi,2672.0,2603.0,2565.0,2490.0,2422.0,2406.0,2326.0,2287.0,2271.0,2199.0,2139.0,2094
Kajaani,38045.0,37973.0,37868.0,37791.0,37622.0,37521.0,37239.0,36973.0,36709.0,36567.0,36493.0,36297
Kuhmo,9334.0,9240.0,9104.0,8950.0,8806.0,8647.0,8499.0,8329.0,8190.0,8042.0,7928.0,7755
Paltamo,3807.0,3743.0,3620.0,3564.0,3488.0,3491.0,3435.0,3336.0,3273.0,3235.0,3183.0,3100
Puolanka,2997.0,2931.0,2878.0,2824.0,2776.0,2735.0,2669.0,2597.0,2528.0,2491.0,2446.0,2380
Ristijärvi,1489.0,1450.0,1427.0,1416.0,1351.0,1345.0,1317.0,1288.0,1272.0,1235.0,1210.0,1174
Sotkamo,10697.0,10682.0,10659.0,10598.0,10523.0,10471.0,10423.0,10389.0,10336.0,10301.0,10348.0,10354
Suomussalmi,8943.0,8813.0,8661.0,8486.0,8336.0,8187.0,8051.0,7862.0,7727.0,7594.0,7508.0,7367
Enontekiö,1893.0,1880.0,1891.0,1890.0,1861.0,1872.0,1893.0,1852.0,1838.0,1808.0,1789.0,1811
Inari,6754.0,6732.0,6794.0,6814.0,6804.0,6825.0,6869.0,6930.0,6907.0,6862.0,7008.0,7047
Kemi,22399.0,22257.0,22120.0,21929.0,21758.0,21602.0,21256.0,21021.0,20707.0,20437.0,19982.0,19499
Kemijärvi,8295.0,8093.0,7983.0,7892.0,7766.0,7661.0,7534.0,7370.0,7274.0,7191.0,7105.0,6996
Keminmaa,8572.0,8585.0,8565.0,8469.0,8388.0,8316.0,8296.0,8147.0,8079.0,7984.0,7904.0,7771
Kittilä,6279.0,6388.0,6478.0,6470.0,6416.0,6383.0,6421.0,6436.0,6453.0,6436.0,6523.0,6637
Kolari,3836.0,3853.0,3885.0,3840.0,3848.0,3827.0,3854.0,3834.0,3846.0,3925.0,3989.0,3999
Muonio,2369.0,2394.0,2383.0,2375.0,2358.0,2350.0,2332.0,2299.0,2308.0,2297.0,2321.0,2281
Pelkosenniemi,973.0,963.0,966.0,947.0,958.0,951.0,958.0,954.0,939.0,931.0,924.0,947
Pello,3912.0,3819.0,3739.0,3676.0,3623.0,3565.0,3510.0,3438.0,3373.0,3304.0,3296.0,3262
Posio,3818.0,3738.0,3647.0,3633.0,3477.0,3424.0,3310.0,3237.0,3183.0,3117.0,3066.0,2999
Ranua,4262.0,4227.0,4154.0,4093.0,4020.0,4023.0,3972.0,3896.0,3783.0,3712.0,3670.0,3618
Rovaniemi,60637.0,60877.0,61215.0,61551.0,61838.0,62231.0,62420.0,62922.0,63042.0,63528.0,64180.0,64535
Salla,4052.0,3979.0,3890.0,3781.0,3727.0,3653.0,3575.0,3491.0,3400.0,3407.0,3416.0,3336
Savukoski,1156.0,1127.0,1126.0,1103.0,1061.0,1044.0,1012.0,1015.0,1005.0,1009.0,1009.0,988
Simo,3441.0,3429.0,3356.0,3296.0,3238.0,3170.0,3110.0,3045.0,2988.0,2950.0,2904.0,2877
Sodankylä,8806.0,8834.0,8884.0,8820.0,8782.0,8653.0,8545.0,8444.0,8303.0,8266.0,8187.0,8134
Tervola,3387.0,3339.0,3306.0,3239.0,3195.0,3099.0,3068.0,3062.0,3001.0,2925.0,2882.0,2863
Tornio,22545.0,22489.0,22371.0,22322.0,22199.0,22117.0,21928.0,21875.0,21602.0,21467.0,21333.0,21227
Utsjoki,1294.0,1285.0,1279.0,1260.0,1250.0,1241.0,1242.0,1232.0,1212.0,1219.0,1176.0,1180
Ylitornio,4650.0,4556.0,4482.0,4348.0,4291.0,4200.0,4118.0,4022.0,3918.0,3890.0,3830.0,3788
Brändö,480.0,476.0,475.0,474.0,470.0,471.0,452.0,449.0,445.0,449.0,449.0,450
Eckerö,978.0,960.0,947.0,932.0,935.0,928.0,948.0,961.0,952.0,958.0,933.0,939
Finström,2527.0,2531.0,2520.0,2535.0,2522.0,2594.0,2580.0,2588.0,2593.0,2603.0,2638.0,2588
Föglö,577.0,578.0,572.0,568.0,554.0,561.0,532.0,534.0,531.0,526.0,501.0,504
Geta,492.0,495.0,500.0,494.0,500.0,499.0,495.0,514.0,496.0,511.0,505.0,507
Hammarland,1526.0,1522.0,1540.0,1531.0,1537.0,1508.0,1547.0,1577.0,1583.0,1599.0,1619.0,1628
Jomala,4249.0,4355.0,4424.0,4560.0,4648.0,4757.0,4859.0,5032.0,5233.0,5386.0,5512.0,5610
Kumlinge,361.0,338.0,330.0,328.0,317.0,308.0,314.0,315.0,314.0,307.0,313.0,306
Kökar,249.0,245.0,251.0,254.0,250.0,246.0,236.0,236.0,232.0,225.0,224.0,223
Lemland,1860.0,1883.0,1926.0,1943.0,1991.0,2012.0,2028.0,2033.0,2053.0,2114.0,2135.0,2131
Lumparland,399.0,392.0,413.0,418.0,398.0,385.0,395.0,382.0,366.0,372.0,376.0,360
Maarianhamina - Mariehamn,11262.0,11345.0,11393.0,11479.0,11461.0,11565.0,11677.0,11743.0,11679.0,11705.0,11742.0,11757
Saltvik,1810.0,1823.0,1813.0,1825.0,1829.0,1839.0,1873.0,1858.0,1849.0,1806.0,1810.0,1793
Sottunga,103.0,101.0,100.0,101.0,99.0,96.0,92.0,91.0,88.0,101.0,105.0,111
Sund,1032.0,1035.0,1029.0,1035.0,1031.0,1006.0,1031.0,1028.0,1023.0,1007.0,1019.0,1001
Vårdö,449.0,422.0,433.0,439.0,441.0,439.0,430.0,448.0,447.0,460.0,463.0,451
