City,2011_ulkomaan_kansalaisia,2012_ulkomaan_kansalaisia,2013_ulkomaan_kansalaisia,2014_ulkomaan_kansalaisia,2015_ulkomaan_kansalaisia,2016_ulkomaan_kansalaisia,2017_ulkomaan_kansalaisia,2018_ulkomaan_kansalaisia,2019_ulkomaan_kansalaisia,2020_ulkomaan_kansalaisia,2021_ulkomaan_kansalaisia,2022_ulkomaan_kansalaisia
Mäntsälä,285.0,305.0,323.0,332.0,364.0,403.0,469.0,494.0,545.0,607.0,623.0,704
Nurmijärvi,760.0,864.0,944.0,1029.0,1080.0,1244.0,1316.0,1455.0,1684.0,1920.0,2100.0,2347
Pornainen,66.0,62.0,63.0,65.0,79.0,83.0,82.0,81.0,91.0,105.0,114.0,121
Porvoo,1670.0,1761.0,1835.0,2019.0,2116.0,2329.0,2372.0,2414.0,2463.0,2503.0,2617.0,2728
Pukkila,25.0,25.0,27.0,29.0,38.0,51.0,53.0,53.0,48.0,49.0,47.0,44
Raasepori,910.0,953.0,966.0,999.0,993.0,1049.0,1001.0,964.0,987.0,1027.0,1102.0,1132
Sipoo,366.0,390.0,450.0,496.0,546.0,659.0,705.0,731.0,772.0,877.0,972.0,1000
Siuntio,190.0,194.0,211.0,217.0,233.0,260.0,262.0,250.0,261.0,285.0,335.0,350
Tuusula,674.0,761.0,869.0,920.0,1010.0,1188.0,1298.0,1500.0,1650.0,1789.0,1982.0,2053
Vantaa,14775.0,16024.0,18041.0,19784.0,21520.0,23552.0,24903.0,27054.0,29389.0,31677.0,34315.0,38001
Vihti,741.0,802.0,863.0,939.0,1011.0,1123.0,1171.0,1257.0,1301.0,1380.0,1429.0,1434
Aura,54.0,70.0,70.0,80.0,96.0,91.0,88.0,94.0,89.0,83.0,81.0,79
Kaarina,572.0,627.0,661.0,715.0,734.0,795.0,853.0,901.0,943.0,1013.0,1044.0,1079
Kemiönsaari,175.0,188.0,200.0,214.0,239.0,268.0,284.0,262.0,266.0,249.0,250.0,232
Koski Tl,56.0,71.0,74.0,91.0,88.0,108.0,97.0,90.0,90.0,81.0,87.0,90
Kustavi,18.0,19.0,18.0,19.0,20.0,19.0,27.0,22.0,18.0,17.0,20.0,24
Laitila,184.0,218.0,241.0,292.0,326.0,395.0,428.0,541.0,582.0,630.0,686.0,752
Lieto,210.0,234.0,224.0,247.0,274.0,292.0,301.0,322.0,308.0,354.0,374.0,409
Loimaa,238.0,278.0,317.0,343.0,362.0,386.0,411.0,416.0,464.0,515.0,498.0,522
Marttila,18.0,22.0,22.0,31.0,30.0,35.0,35.0,41.0,44.0,48.0,48.0,49
Masku,79.0,87.0,96.0,93.0,92.0,92.0,99.0,105.0,111.0,144.0,150.0,158
Mynämäki,92.0,96.0,104.0,104.0,107.0,114.0,121.0,124.0,143.0,160.0,175.0,192
Naantali,203.0,205.0,233.0,264.0,279.0,301.0,308.0,336.0,346.0,362.0,405.0,416
Nousiainen,44.0,45.0,50.0,56.0,50.0,48.0,47.0,51.0,54.0,59.0,75.0,82
Oripää,43.0,55.0,64.0,75.0,69.0,65.0,69.0,86.0,87.0,93.0,105.0,97
Paimio,92.0,107.0,114.0,116.0,138.0,170.0,189.0,210.0,216.0,236.0,254.0,293
Parainen,266.0,280.0,306.0,335.0,350.0,362.0,384.0,414.0,430.0,431.0,436.0,473
Pyhäranta,14.0,15.0,17.0,18.0,21.0,16.0,17.0,19.0,25.0,26.0,31.0,38
Pöytyä,117.0,154.0,168.0,195.0,205.0,230.0,250.0,254.0,268.0,299.0,320.0,348
Raisio,877.0,931.0,970.0,1014.0,1021.0,1041.0,1061.0,1075.0,1128.0,1282.0,1411.0,1584
Rusko,43.0,42.0,52.0,62.0,65.0,81.0,90.0,94.0,96.0,105.0,116.0,118
Salo,2236.0,2161.0,2074.0,2156.0,2108.0,2159.0,2088.0,2097.0,2111.0,2216.0,2278.0,2462
Sauvo,50.0,43.0,46.0,47.0,48.0,50.0,56.0,66.0,67.0,74.0,87.0,91
Somero,171.0,177.0,188.0,218.0,210.0,223.0,222.0,218.0,240.0,242.0,241.0,244
Taivassalo,45.0,58.0,60.0,66.0,65.0,65.0,64.0,71.0,71.0,77.0,82.0,90
Turku,9506.0,10086.0,10517.0,11061.0,11539.0,12075.0,12346.0,12627.0,12956.0,13603.0,14567.0,16156
Uusikaupunki,132.0,154.0,170.0,220.0,263.0,295.0,431.0,606.0,720.0,793.0,949.0,876
Vehmaa,18.0,20.0,28.0,29.0,35.0,38.0,42.0,43.0,40.0,56.0,61.0,68
Eura,168.0,202.0,239.0,264.0,277.0,292.0,294.0,314.0,321.0,333.0,361.0,387
Eurajoki,117.0,120.0,135.0,136.0,146.0,276.0,381.0,298.0,288.0,310.0,272.0,280
Harjavalta,109.0,125.0,138.0,149.0,151.0,170.0,192.0,188.0,186.0,198.0,208.0,219
Huittinen,249.0,240.0,249.0,253.0,285.0,287.0,295.0,302.0,308.0,303.0,305.0,324
Jämijärvi,12.0,13.0,24.0,34.0,38.0,34.0,31.0,29.0,29.0,27.0,24.0,28
Kankaanpää,250.0,281.0,308.0,346.0,341.0,377.0,421.0,414.0,395.0,422.0,449.0,465
Karvia,51.0,49.0,45.0,45.0,51.0,58.0,59.0,66.0,62.0,80.0,91.0,96
Kokemäki,141.0,164.0,172.0,173.0,181.0,181.0,175.0,171.0,155.0,179.0,195.0,202
Merikarvia,23.0,26.0,27.0,26.0,31.0,29.0,28.0,32.0,33.0,39.0,44.0,48
Nakkila,34.0,30.0,26.0,36.0,42.0,44.0,50.0,52.0,51.0,49.0,55.0,57
Pomarkku,16.0,17.0,19.0,19.0,17.0,16.0,16.0,15.0,19.0,17.0,21.0,24
Pori,1263.0,1421.0,1588.0,1680.0,1755.0,1878.0,1916.0,2062.0,2103.0,2222.0,2394.0,2708
Rauma,733.0,901.0,1072.0,1225.0,1377.0,1579.0,1710.0,1892.0,2063.0,2292.0,2533.0,2518
Siikainen,8.0,12.0,14.0,13.0,13.0,14.0,14.0,18.0,17.0,15.0,16.0,16
Säkylä,74.0,97.0,108.0,117.0,118.0,112.0,120.0,113.0,125.0,145.0,160.0,182
Ulvila,92.0,107.0,104.0,115.0,118.0,132.0,131.0,129.0,125.0,125.0,148.0,168
Forssa,452.0,507.0,538.0,552.0,557.0,611.0,653.0,644.0,676.0,734.0,736.0,793
Hattula,78.0,86.0,98.0,108.0,117.0,116.0,116.0,117.0,115.0,109.0,113.0,118
Hausjärvi,131.0,149.0,153.0,172.0,179.0,176.0,191.0,192.0,184.0,203.0,210.0,192
Humppila,28.0,35.0,35.0,38.0,33.0,31.0,41.0,29.0,27.0,27.0,32.0,33
Hämeenlinna,1475.0,1730.0,1963.0,2150.0,2314.0,2525.0,2504.0,2388.0,2397.0,2439.0,2502.0,2764
Janakkala,265.0,281.0,325.0,354.0,367.0,362.0,375.0,377.0,355.0,369.0,392.0,388
Jokioinen,69.0,76.0,65.0,67.0,71.0,70.0,79.0,83.0,84.0,91.0,99.0,127
Loppi,104.0,103.0,109.0,113.0,110.0,124.0,143.0,130.0,140.0,160.0,183.0,185
Riihimäki,703.0,806.0,887.0,942.0,971.0,974.0,986.0,996.0,1037.0,1010.0,1014.0,1020
Tammela,29.0,36.0,39.0,43.0,45.0,54.0,72.0,72.0,80.0,89.0,96.0,118
Ypäjä,22.0,27.0,25.0,27.0,30.0,36.0,46.0,31.0,23.0,27.0,25.0,30
Akaa,211.0,232.0,241.0,249.0,249.0,258.0,261.0,281.0,273.0,294.0,318.0,337
Hämeenkyrö,88.0,92.0,104.0,105.0,109.0,141.0,155.0,141.0,133.0,133.0,134.0,129
Ikaalinen,73.0,78.0,89.0,96.0,100.0,94.0,94.0,96.0,102.0,97.0,122.0,132
