City,2011_suomenkielisia,2012_suomenkielisia,2013_suomenkielisia,2014_suomenkielisia,2015_suomenkielisia,2016_suomenkielisia,2017_suomenkielisia,2018_suomenkielisia,2019_suomenkielisia,2020_suomenkielisia,2021_suomenkielisia,2022_suomenkielisia
Kristiinankaupunki,2963.0,2935.0,2897.0,2836.0,2793.0,2754.0,2738.0,2727.0,2682.0,2647.0,2633.0,2576
Kruunupyy,1096.0,1110.0,1142.0,1165.0,1193.0,1198.0,1201.0,1236.0,1207.0,1230.0,1229.0,1227
Laihia,7782.0,7832.0,7840.0,7899.0,7916.0,7960.0,7861.0,7856.0,7810.0,7776.0,7690.0,7587
Luoto,310.0,309.0,309.0,305.0,303.0,307.0,305.0,308.0,304.0,306.0,305.0,303
Maalahti,537.0,532.0,549.0,548.0,565.0,540.0,534.0,534.0,533.0,529.0,531.0,525
Mustasaari,5465.0,5503.0,5587.0,5612.0,5579.0,5595.0,5550.0,5579.0,5575.0,5551.0,5571.0,5583
Närpiö,548.0,540.0,530.0,530.0,523.0,514.0,518.0,515.0,519.0,507.0,506.0,502
Pedersören kunta,975.0,967.0,969.0,982.0,971.0,931.0,927.0,935.0,928.0,946.0,931.0,925
Pietarsaari,7546.0,7425.0,7346.0,7222.0,7093.0,6942.0,6836.0,6681.0,6616.0,6474.0,6345.0,6222
Uusikaarlepyy,577.0,574.0,551.0,549.0,537.0,533.0,517.0,514.0,499.0,493.0,501.0,483
Vaasa,46160.0,46362.0,46475.0,46690.0,46971.0,46742.0,46237.0,45981.0,45779.0,45486.0,45236.0,45023
Vöyri,851.0,836.0,832.0,832.0,813.0,812.0,824.0,834.0,807.0,809.0,794.0,771
Halsua,1255.0,1224.0,1208.0,1197.0,1184.0,1181.0,1131.0,1115.0,1083.0,1058.0,1034.0,1001
Kannus,5627.0,5647.0,5582.0,5540.0,5478.0,5463.0,5401.0,5391.0,5344.0,5306.0,5256.0,5200
Kaustinen,4150.0,4135.0,4130.0,4121.0,4126.0,4114.0,4130.0,4098.0,4085.0,4050.0,4025.0,4033
Kokkola,39234.0,39416.0,39637.0,39820.0,40016.0,40073.0,40079.0,40031.0,40014.0,40042.0,40149.0,40113
Lestijärvi,832.0,820.0,809.0,804.0,783.0,795.0,773.0,723.0,704.0,707.0,707.0,683
Perho,2883.0,2881.0,2886.0,2860.0,2901.0,2874.0,2822.0,2787.0,2726.0,2672.0,2638.0,2618
Toholampi,3457.0,3392.0,3333.0,3306.0,3266.0,3190.0,3145.0,3074.0,2988.0,2914.0,2877.0,2841
Veteli,3305.0,3274.0,3224.0,3230.0,3194.0,3131.0,3101.0,3046.0,2996.0,2950.0,2885.0,2821
Alavieska,2733.0,2733.0,2711.0,2661.0,2660.0,2615.0,2583.0,2545.0,2493.0,2492.0,2467.0,2421
Haapajärvi,7527.0,7559.0,7523.0,7375.0,7333.0,7213.0,7121.0,7017.0,6897.0,6795.0,6684.0,6561
Haapavesi,7296.0,7194.0,7143.0,7070.0,7061.0,6980.0,6874.0,6757.0,6661.0,6547.0,6449.0,6402
Hailuoto,994.0,977.0,989.0,986.0,983.0,982.0,955.0,959.0,945.0,936.0,933.0,942
Ii,9442.0,9516.0,9547.0,9596.0,9592.0,9559.0,9896.0,9780.0,9759.0,9754.0,9815.0,9757
Kalajoki,12387.0,12392.0,12408.0,12379.0,12347.0,12292.0,12190.0,12046.0,12004.0,12022.0,12002.0,11891
Kempele,15990.0,16187.0,16403.0,16671.0,16834.0,17046.0,17288.0,17664.0,18088.0,18513.0,18823.0,18991
Kuusamo,16160.0,15946.0,15732.0,15594.0,15413.0,15234.0,15081.0,14882.0,14743.0,14772.0,14704.0,14604
Kärsämäki,2800.0,2735.0,2698.0,2672.0,2632.0,2628.0,2586.0,2587.0,2547.0,2505.0,2502.0,2443
Liminka,9110.0,9377.0,9518.0,9681.0,9873.0,9935.0,10062.0,10075.0,10101.0,10143.0,10133.0,10160
Lumijoki,2020.0,2043.0,2073.0,2062.0,2061.0,2091.0,2064.0,2031.0,2004.0,2004.0,1985.0,1952
Merijärvi,1189.0,1166.0,1146.0,1145.0,1130.0,1123.0,1111.0,1098.0,1083.0,1075.0,1072.0,1061
Muhos,8829.0,8863.0,8908.0,8894.0,8963.0,8871.0,8886.0,8858.0,8793.0,8776.0,8780.0,8745
